timestamp,tag_id,x_pos,y_pos,heading,direction,energy,speed,total_distance
05:13.0,16,35.3014,47.5268,1.7866,0,259.146,0,299.465
05:13.0,12,34.4418,38.5675,2.27549,1.10649,249.506,0.730571,239.433
05:13.0,3,71.1769,71.8776,-2.19896,0,1.24455,0,2.89645
05:13.0,13,35.7741,22.4835,0.0694391,-2.53215,181.633,1.81242,234.39
05:13.0,8,53.2777,41.9188,2.59382,-3.06741,165.04,0.899691,287.31
05:13.0,15,42.7315,42.2995,0.112436,-0.52032,145.565,0.62888,204.856
05:13.0,2,35.1948,30.1413,-1.8279,-2.19761,142.935,0.376807,203.511
05:13.0,7,41.7593,49.8924,1.89341,-1.48323,155.069,0.47285,380.053
05:13.0,6,47.1811,19.9335,2.10268,2.18553,243.236,0.496467,278.17
05:13.0,11,44.165,28.8029,1.6251,-1.72726,253.631,0.592412,274.661
05:13.0,10,39.4809,33.1721,1.38003,2.84618,331.17,1.53931,333.541
05:13.1,16,35.3014,47.5268,1.79287,0,259.153,0,299.465
05:13.1,12,34.4731,38.5806,2.26111,1.20016,249.513,0.660546,239.467
05:13.1,3,71.1769,71.8776,-2.19823,0,1.24455,0,2.89645
05:13.1,13,35.7179,22.4161,0.0659811,-2.4171,181.64,1.73986,234.478
05:13.1,8,53.2731,41.8775,2.59529,-3.01745,165.043,0.804685,287.351
05:13.1,15,42.7158,42.3269,0.0868236,-0.517439,145.57,0.63206,204.887
05:13.1,2,35.1801,30.1255,-1.83214,-2.44789,142.938,0.453666,203.532
05:13.1,7,41.738,49.8967,1.87561,-1.33343,155.07,0.423088,380.074
05:13.1,6,47.1997,19.9171,2.10018,2.32474,243.245,0.497538,278.195
05:13.1,11,44.1342,28.7993,1.64681,-1.67755,253.644,0.627964,274.692
05:13.1,10,39.5007,33.0959,1.395,2.90091,331.622,1.58499,333.62
05:13.1,16,35.3014,47.5268,1.78685,0,259.158,0,299.465
05:13.1,12,34.502,38.5886,2.21948,1.33903,249.522,0.582594,239.497
05:13.1,3,71.1769,71.8776,-2.19743,0,1.24455,0,2.89645
05:13.1,13,35.6559,22.358,0.0623066,-2.28976,181.648,1.6863,234.563
05:13.1,8,53.2671,41.8416,2.59602,-2.96094,165.046,0.702347,287.388
05:13.1,15,42.7003,42.3543,0.0749141,-0.515133,145.572,0.6272,204.919
05:13.1,2,35.1663,30.103,-1.83775,-2.62628,142.943,0.553614,203.559
05:13.1,7,41.7201,49.9037,1.85939,-1.14971,155.072,0.373676,380.094
05:13.1,6,47.2164,19.8985,2.09709,2.43749,243.255,0.500889,278.22
05:13.1,11,44.1021,28.7972,1.70431,-1.61985,253.681,0.645766,274.724
05:13.1,10,39.5168,33.0163,1.35926,2.95398,331.947,1.63949,333.701
05:13.2,16,35.3014,47.5268,1.77471,0,259.16,0,299.465
05:13.2,12,34.5286,38.5917,2.18129,1.49756,249.53,0.519275,239.524
05:13.2,3,71.1769,71.8776,-2.19674,0,1.24455,0,2.89645
05:13.2,13,35.5888,22.311,0.0602371,-2.14533,181.656,1.62867,234.645
05:13.2,8,53.26,41.8112,2.58767,-2.89451,165.047,0.597681,287.419
05:13.2,15,42.685,42.3812,0.0632049,-0.51764,145.574,0.615802,204.95
05:13.2,2,35.1534,30.0737,-1.84256,-2.75603,142.947,0.671885,203.591
05:13.2,7,41.7057,49.9133,1.84785,-0.91425,155.081,0.339232,380.111
05:13.2,6,47.2312,19.878,2.09634,2.54124,243.266,0.507247,278.245
05:13.2,11,44.0697,28.7975,1.78693,-1.54225,253.71,0.646778,274.756
05:13.2,10,39.5294,32.9331,1.2585,3.00511,332.051,1.69792,333.786
05:13.2,16,35.3014,47.5268,1.76148,0,259.162,0,299.465
05:13.2,12,34.5525,38.59,2.15426,1.69568,249.538,0.467969,239.548
05:13.2,3,71.1769,71.8776,-2.19621,0,1.24455,0,2.89645
05:13.2,13,35.5168,22.2748,0.0615661,-2.00066,181.662,1.60994,234.725
05:13.2,8,53.2521,41.7866,2.57459,-2.80211,165.049,0.48984,287.445
05:13.2,15,42.67,42.4071,0.0238931,-0.526016,145.584,0.592309,204.98
05:13.2,2,35.1415,30.0369,-1.84588,-2.85011,142.954,0.809204,203.629
05:13.2,7,41.6954,49.9252,1.8364,-0.646357,155.092,0.309846,380.127
05:13.2,6,47.2441,19.8554,2.10158,2.6549,243.275,0.525583,278.271
05:13.2,11,44.0379,28.8003,1.86654,-1.46159,253.776,0.633504,274.788
05:13.2,10,39.538,32.8465,1.114,3.05441,332.137,1.7541,333.873
05:13.3,16,35.3014,47.5268,1.74983,0,259.162,0,299.465
05:13.3,12,34.5736,38.5832,2.13075,1.94555,249.543,0.438121,239.57
05:13.3,3,71.1769,71.8776,-2.19585,0,1.24455,0,2.89645
05:13.3,13,35.4402,22.2494,0.0635521,-1.85447,181.665,1.61674,234.806
05:13.3,8,53.2434,41.7684,2.56249,-2.64867,165.051,0.375341,287.465
05:13.3,15,42.6557,42.4316,-0.029702,-0.529389,145.591,0.559885,205.008
05:13.3,2,35.1307,29.9926,-1.84907,-2.91702,142.964,0.947639,203.675
05:13.3,7,41.6894,49.9387,1.80764,-0.336699,155.098,0.293746,380.142
